N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,164.806535,129.638840,166.757645
2048.000000,184.760959,147.845250,182.079850
4096.000000,188.886818,152.423709,186.796479
8192.000000,192.581774,153.957920,184.553605
16384.000000,193.258264,155.486950,186.481229
