N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,77.306803,77.287003,80.889198
2048.000000,106.529723,106.824006,115.058949
4096.000000,128.250853,128.279541,142.857570
8192.000000,141.376735,141.869689,158.041263
16384.000000,148.971680,148.916417,168.755519
